tic_id,ra,dec,tmag
164892125,285.2537555,46.5822183,14.1718
159099116,289.553232,43.876116,14.4428
137634395,292.4797004,38.5149018,14.8751
28159518,297.292558,49.9817499,12.1956
63293562,292.6780488,46.7266813,12.7328
27530621,295.5549918,49.0172956,14.7838
169082553,297.0702037,40.868734,14.1532
120691237,286.0252285,39.6309204,14.1317
149601126,86.8509737,-60.5213081,13.4006
394174412,289.6793396,40.7004265,13.7771
120638033,285.8537014,38.3840916,13.486
159102744,289.538818,41.8928154,15.0669
272376022,296.397542,42.3969273,15.2862
299089652,288.8488552,51.2090375,11.9363
29781292,65.2383065,-68.1026875,8.9387
349095149,107.9210254,-65.5088568,10.0564
120495880,285.3500664,41.4523695,14.149
164455792,283.0228527,47.2611431,14.079
271963778,295.8940373,42.3805156,15.484
271545939,295.251187,45.8429537,14.7736
267667567,284.566954,49.0127077,14.2421
416279912,289.7636212,51.962683,12.1351
349408306,110.426175,-64.014145,15.8445
321688498,321.599582,68.640531,11.1079
31374837,83.26925,-26.72387,8.1705
435878153,13.085379,20.938876,12.0398
117979455,71.802796,-17.253367,8.96
153725446,66.413097,-43.72027,11.1522
36724087,154.644903,-11.717801,10.5848
308034948,180.325704,-60.200439,8.6014
348538431,121.629579,-15.76469,13.2304
268439377,116.835959,-49.122453,13.1591
274057129,316.42555,45.579939,11.5276
96165095,72.60148,33.014025,11.0543
375850439,336.295039,67.971168,10.6234
298073824,201.336817,75.982713,8.1033
285592400,13.132258,64.334238,12.0637
322054600,323.87017,68.987307,10.4505
150437346,97.320501,-65.337781,11.6659
186715217,45.959667,40.324556,14.2955
1870990135,295.556776,32.614099,12.8953
219379012,76.833621,-48.115889,10.231
114516994,88.308222,21.917925,10.1485
9432774,73.598358,-8.462994,12.3956
311010709,284.766001,-16.755523,12.4878
385105624,50.808098,46.682113,10.4511
383806208,135.238555,-56.556931,13.2576
157568289,106.767434,-36.770799,10.4091
256561562,299.937613,61.653163,12.9392
241525834,206.54904,-53.357187,14.85
171312653,298.748378,36.162883,13.4842
386297468,139.190353,-59.528015,12.3487
150320610,95.61935,-63.697716,9.755
278866211,100.807811,-55.244376,10.2638
229490898,296.257303,64.791904,11.9414
79292541,104.055775,-20.052499,9.4247
67881560,9.347123,40.905168,10.3337
445392860,112.460205,-51.990765,14.881
366804698,198.447139,5.702132,10.8829
10487354,111.022056,-2.625095,12.8786
29848696,23.69102,-7.375004,9.0072
261258875,89.730768,-79.743374,9.2691
345596003,356.180508,56.843339,13.3745
43724768,76.552419,-8.050582,12.9399
298829544,287.764397,52.24468,13.4685
367913453,355.51293,76.918784,12.3618
