target,tic_id,sectors
TIC 47504901,47504901,96
TIC 47504969,47504969,96
TIC 47506328,47506328,96
TIC 47507668,47507668,96
TIC 47510590,47510590,96
TIC 47525799,47525799,96
TIC 47525961,47525961,96
TIC 47526465,47526465,96
TIC 47526499,47526499,96
TIC 47527450,47527450,96
TIC 47551916,47551916,96
TIC 47552617,47552617,96
TIC 47552771,47552771,96
TIC 47553356,47553356,96
TIC 47553484,47553484,96
TIC 47553496,47553496,96
TIC 47556643,47556643,96
TIC 49675302,49675302,96
TIC 49687260,49687260,96
TIC 49733422,49733422,96
TIC 49783554,49783554,96
TIC 49785640,49785640,96
TIC 50273299,50273299,96
TIC 50441646,50441646,96
TIC 50494466,50494466,96
TIC 52075621,52075621,96
TIC 52120715,52120715,96
TIC 52153529,52153529,96
TIC 52195153,52195153,96
TIC 52283868,52283868,96
TIC 52284711,52284711,96
TIC 52309120,52309120,96
TIC 55399828,55399828,96
TIC 55479421,55479421,96
TIC 55501642,55501642,96
TIC 55602502,55602502,96
TIC 55605873,55605873,96
TIC 55653113,55653113,96
TIC 55741278,55741278,96
TIC 55782234,55782234,96
TIC 62439867,62439867,96
TIC 62439946,62439946,96
TIC 62440434,62440434,96
TIC 63688478,63688478,96
TIC 63688528,63688528,96
TIC 63695028,63695028,96
TIC 63695388,63695388,96
TIC 63695626,63695626,96
TIC 63695926,63695926,96
TIC 63695966,63695966,96
TIC 63696840,63696840,96
TIC 63697344,63697344,96
TIC 63698669,63698669,96
TIC 63724199,63724199,96
TIC 63726058,63726058,96
TIC 63726774,63726774,96
TIC 65258074,65258074,96
TIC 65258512,65258512,96
TIC 65259004,65259004,96
TIC 65259776,65259776,96
TIC 65259968,65259968,96
TIC 65260690,65260690,96
TIC 65261152,65261152,96
TIC 65261165,65261165,96
TIC 65261347,65261347,96
TIC 65261496,65261496,96
TIC 65262741,65262741,96
TIC 65263205,65263205,96
TIC 65263274,65263274,96
TIC 65263292,65263292,96
TIC 65263330,65263330,96
TIC 65263340,65263340,96
TIC 65263457,65263457,96
TIC 65263519,65263519,96
TIC 65263746,65263746,96
TIC 65263849,65263849,96
TIC 65264742,65264742,96
TIC 65264965,65264965,96
TIC 65289339,65289339,96
