target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 146172354,146172354,100,100,10.29,157.8672,-42.2406,2,4,5771.0,1.17554,184.015,DWARF,0,2.198475,2346
TIC 382619547,382619547,100,100,10.12,183.4869,-62.9203,3,2,4461.0,1.2225,104.235,DWARF,0,2.198498,2347
TIC 66763288,66763288,100,100,11.45,181.2484,-58.2484,3,2,5149.0,0.900595,186.469,DWARF,0,2.199059,2348
TIC 288281326,288281326,100,100,12.98,187.3674,-50.0354,3,1,3392.0,0.63321,135.378,DWARF,0,2.199096,2349
TIC 68088744,68088744,100,100,13.17,193.578,-56.3148,3,1,3343.0,0.606307,133.088,DWARF,0,2.199385,2350
TIC 311333943,311333943,100,100,13.75,185.6965,-63.6326,3,2,2930.0,0.530604,116.151,DWARF,0,2.199541,2351
TIC 152566738,152566738,100,100,13.97,172.322,-37.5133,2,3,3536.0,0.504535,163.232,DWARF,0,2.199783,2352
TIC 188241952,188241952,100,100,11.26,162.8328,-26.3925,1,1,4469.0,0.941776,137.488,DWARF,0,2.199895,2353
TIC 344128619,344128619,100,100,12.21,279.3057,-73.5374,4,3,4599.0,0.756764,177.895,DWARF,0,2.199921,2354
TIC 253493819,253493819,100,100,13.4,197.159,-58.5158,3,1,3296.0,0.575423,133.124,DWARF,0,2.199974,2355
TIC 272407002,272407002,100,100,13.91,187.7293,-55.0789,3,1,3235.0,0.511755,143.353,DWARF,0,2.200124,2356
TIC 135454081,135454081,100,100,10.91,187.7341,-40.2998,2,2,4680.0,1.02109,141.435,DWARF,0,2.200128,2357
TIC 248249182,248249182,100,100,12.73,195.0374,-47.6205,3,1,3352.0,0.671711,123.88,DWARF,0,2.200365,2358
TIC 447552561,447552561,100,100,12.47,253.65,-63.2357,4,4,4716.83,0.713158,204.188,DWARF,0,2.200372,2359
TIC 364488120,364488120,100,100,12.81,253.3316,-68.1904,4,4,4365.0,0.659465,186.91,DWARF,0,2.200384,2360
TIC 93325137,93325137,100,100,11.72,175.2329,-48.8015,2,1,4396.0,0.847664,146.155,DWARF,0,2.200447,2361
TIC 241421007,241421007,100,100,13.39,205.346,-51.1892,3,1,3176.0,0.577073,128.979,DWARF,0,2.200462,2362
TIC 396032009,396032009,100,100,11.1,210.377,-77.4787,4,2,5369.0,0.977787,170.265,DWARF,0,2.200489,2363
TIC 293073072,293073072,100,100,11.43,254.2086,-67.4831,4,4,5643.45,0.906389,230.965,DWARF,0,2.200629,2364
TIC 382980135,382980135,100,100,9.61,183.7739,-63.1275,3,2,6029.0,1.37849,162.345,DWARF,0,2.200807,2365
