target,tic_id,planet,expected_period_days,expected_depth_ppm,tmag,source_rowupdate,purpose,sector,sectors,author,cadence_seconds,observed_baseline_days,expected_transits
TIC 350153977,350153977,TOI-908 b,3.183792,807.322,10.65,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.9,6.88
TIC 350618622,350618622,TOI-201 d,5.84889,94.6299,8.582,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.65,3.70
TIC 351601843,351601843,TOI-1075 b,0.6047328,798.694,11.12,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,101,101;102;103,SPOC,120,81,133.94
TIC 353475866,353475866,TOI-1693 b,1.7666957,789.704,10.67,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,43,43;44;45,SPOC,120,81,45.85
TIC 354944123,354944123,TOI-4342 b,5.5382592,1274.91,11.03,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.87,3.95
TIC 357501308,357501308,TOI-2018 b,7.435583,1124.72,8.962,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,51,51;77;78,SPOC,120,81,10.89
TIC 358070912,358070912,TOI-3261 b,0.8831331,1701.58,12.49,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.78,24.67
TIC 359271092,359271092,GJ 341 b,7.57686,253.616,7.669,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,36,36;37;62,SPOC,120,81,10.69
TIC 360742636,360742636,HATS-33 b,2.5495551,15296.2,11.25,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.85,8.57
TIC 362249359,362249359,TOI-833 b,1.0418777,376.571,10.15,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,9,9;10;11,SPOC,120,81,77.74
TIC 363851359,363851359,HATS-54 b,2.5441765,7191.11,13.28,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,101,101,SPOC,120,22.02,8.65
TIC 369327947,369327947,LHS 475 b,2.029088,1101,10.15,catalog_pl_trandep,survey-wide known-planet recovery rate,93,93;94;101,SPOC,120,81,39.92
TIC 370133522,370133522,GJ 1252 b,0.5182331,782.472,10.12,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,101,101;103;104,SPOC,120,81,156.30
TIC 372172128,372172128,TOI-2196 b,1.1947268,951.891,11.36,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.89,18.32
TIC 376353509,376353509,TOI-1648 b,7.331602,826.493,9.583,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,52,52;59;79,SPOC,120,81,11.05
TIC 377293776,377293776,TOI-1450 A b,2.0439274,460.049,10.03,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,14,14;15;16,SPOC,120,81,39.63
TIC 380589029,380589029,HATS-24 b,1.3484978,16382.8,12.29,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,23.25,17.24
TIC 382602147,382602147,TOI-2384 b,2.135703,29690.2,13.31,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,95,95,SPOC,120,21.58,10.10
