target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,stellar_mass_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 180105435,180105435,100,100,14.38,188.878,-62.9467,3,2,3289.0,0.487093,0.485155,167.959,DWARF,0,2.251224,882
TIC 296688821,296688821,100,100,14.61,176.3875,-66.5941,3,2,3279.0,0.462178,0.459465,171.659,DWARF,0,2.251619,883
TIC 290263978,290263978,100,100,14.67,173.7898,-64.5923,3,2,3136.0,0.456978,0.45398,159.92,DWARF,0,2.253791,884
TIC 304527698,304527698,100,100,14.56,178.0238,-65.078,3,2,3276.0,0.468959,0.466557,173.465,DWARF,0,2.25427,885
TIC 988703236,988703236,100,100,14.45,187.9396,-57.0836,3,1,3742.0,0.483405,0.56,185.988,DWARF,0,2.258622,886
TIC 450413058,450413058,100,100,14.26,186.1996,-62.279,3,2,3263.0,0.505231,0.503201,168.6,DWARF,0,2.25898,887
TIC 434930786,434930786,100,100,14.05,192.3896,-63.2268,3,3,3069.0,0.533725,0.530381,141.098,DWARF,0,2.264635,888
TIC 317037637,317037637,100,100,14.5,172.386,-64.413,3,2,3209.0,0.481293,0.479266,166.691,DWARF,0,2.264819,889
TIC 429199701,429199701,100,100,14.1,183.9299,-53.7167,3,1,3285.0,0.527936,0.524976,163.25,DWARF,0,2.265163,890
TIC 341785883,341785883,100,100,14.94,203.3456,-70.9264,3,3,3158.0,0.435476,0.430874,163.903,DWARF,0,2.265928,891
TIC 468172174,468172174,100,100,14.21,170.4082,-64.0923,3,2,3121.0,0.516567,0.514188,,DWARF,0,2.268253,892
TIC 438717655,438717655,100,100,14.34,201.1894,-51.2552,3,1,3336.0,0.503969,0.36,142.376,DWARF,0,2.272808,893
TIC 361870383,361870383,100,100,14.42,195.7938,-72.2491,3,3,3317.0,0.49503,0.493123,169.314,DWARF,0,2.273263,894
TIC 365727054,365727054,100,100,15.92,274.8213,-62.4632,4,4,3291.0,0.350946,0.3353,225.424,DWARF,0,2.274481,895
TIC 448918387,448918387,100,100,14.34,214.3978,-69.0674,3,3,3343.0,0.505463,0.503429,175.445,DWARF,0,2.275379,896
TIC 293487116,293487116,100,100,14.37,262.0883,-68.2211,4,4,3330.0,0.502165,0.500191,178.936,DWARF,0,2.275693,897
TIC 73329722,73329722,100,100,14.79,190.3858,-44.3384,2,2,3182.0,0.455952,0.452892,162.691,DWARF,0,2.275838,898
TIC 380916554,380916554,100,100,15.98,269.9834,-60.4292,4,4,3290.0,0.348197,0.332124,222.376,DWARF,0,2.27965,899
TIC 448999064,448999064,100,100,15.15,215.2923,-69.2472,3,3,3373.0,0.422046,0.416129,199.572,DWARF,0,2.28072,900
TIC 306638370,306638370,100,100,15.4,265.4796,-60.0635,4,4,3261.0,0.398573,0.389869,197.049,DWARF,0,2.281016,901
TIC 280507240,280507240,100,100,14.93,170.8272,-63.6912,3,2,3039.0,0.444523,0.440675,164.474,DWARF,0,2.281788,902
TIC 405176454,405176454,100,100,14.26,180.9807,-47.0862,2,2,3831.0,0.528742,0.525733,219.085,DWARF,0,2.298488,903
TIC 268131146,268131146,100,100,14.74,176.6291,-54.9481,3,2,3281.0,0.473835,0.471611,187.867,DWARF,0,2.299254,904
TIC 294687891,294687891,100,100,14.84,267.2751,-68.2974,4,4,3651.0,0.463611,0.46097,230.633,DWARF,0,2.300307,905
TIC 1031652307,1031652307,100,100,15.61,205.2196,-58.9356,3,4,3598.0,0.388836,0.51,231.65,DWARF,0,2.301533,906
TIC 364355763,364355763,100,100,15.55,252.6123,-68.047,4,4,3320.0,0.394656,0.385434,218.651,DWARF,0,2.302437,907
TIC 447416116,447416116,100,100,14.46,252.4475,-61.7051,4,4,3597.0,0.507635,0.505551,,DWARF,0,2.303103,908
TIC 342087010,342087010,100,100,14.67,204.1581,-68.0295,3,3,3296.0,0.483741,0.481758,175.225,DWARF,0,2.303226,909
TIC 300584799,300584799,100,100,14.65,208.4063,-65.8351,3,4,3658.0,0.486892,0.484952,221.489,DWARF,0,2.304865,910
TIC 291652787,291652787,100,100,14.92,221.0013,-64.1642,3,4,3252.0,0.457599,0.454636,189.807,DWARF,0,2.30497,911
TIC 449091644,449091644,100,100,15.01,216.415,-67.3195,3,4,3606.0,0.448513,0.51,205.818,DWARF,0,2.30555,912
TIC 405086463,405086463,100,100,14.93,185.4386,-68.6023,3,3,3224.0,0.457459,0.454488,194.684,DWARF,0,2.306704,913
TIC 209796458,209796458,100,100,14.89,211.0505,-57.7818,3,4,3275.0,0.462117,0.459402,192.836,DWARF,0,2.307504,914
TIC 222008315,222008315,100,100,14.19,249.786,-59.0027,4,4,3859.0,0.543153,0.539054,221.515,DWARF,0,2.307844,915
TIC 401227082,401227082,100,100,15.71,187.6878,-51.8457,3,1,2856.0,0.38341,0.372637,164.586,DWARF,0,2.309327,916
TIC 380165283,380165283,100,100,14.47,257.3837,-58.7447,4,4,3376.0,0.511617,0.509418,191.796,DWARF,0,2.31189,917
TIC 275648449,275648449,100,100,15.56,179.2866,-46.5431,2,2,3277.0,0.398162,0.389404,224.795,DWARF,0,2.31212,918
TIC 364207265,364207265,100,100,14.99,252.0138,-66.8916,4,4,3462.0,0.454237,0.451071,213.756,DWARF,0,2.312565,919
TIC 343302662,343302662,100,100,14.01,205.9358,-71.2324,3,3,3488.0,0.569311,0.45,154.026,DWARF,0,2.312699,920
TIC 448661940,448661940,100,100,15.87,212.4411,-69.2466,3,3,3074.0,0.371118,0.358554,203.67,DWARF,0,2.313024,921
TIC 293170034,293170034,100,100,15.95,221.744,-63.576,3,4,3327.0,0.364599,0.35,206.987,DWARF,0,2.313631,922
TIC 448499141,448499141,100,100,15.9,211.0054,-70.9664,3,3,3249.0,0.369213,0.356365,220.932,DWARF,0,2.314554,923
TIC 22027696,22027696,100,100,14.21,182.7272,-43.2984,2,2,3407.0,0.54498,0.540717,184.305,DWARF,0,2.314761,924
TIC 398593598,398593598,100,100,15.76,219.557,-65.633,3,4,3240.0,0.381571,0.370536,222.171,DWARF,0,2.315151,925
TIC 364355051,364355051,100,100,15.29,252.6653,-67.7261,4,4,3406.0,0.42523,0.419645,222.572,DWARF,0,2.315248,926
TIC 322452934,322452934,100,100,15.26,206.314,-61.9336,3,4,3365.0,0.428342,0.38,184.671,DWARF,0,2.315581,927
TIC 381063581,381063581,100,100,15.86,207.2518,-65.0195,3,4,3347.0,0.373102,0.360833,232.222,DWARF,0,2.315655,928
TIC 360338460,360338460,100,100,14.44,188.0108,-76.176,3,3,3262.0,0.518236,0.515786,,DWARF,0,2.317055,929
TIC 419687261,419687261,100,100,14.11,191.3709,-56.4218,3,1,3377.0,0.55939,0.553623,185.018,DWARF,0,2.317429,930
TIC 295243734,295243734,100,100,15.38,170.5728,-67.6936,3,2,3211.0,0.417806,0.411428,206.941,DWARF,0,2.317949,931
TIC 310406392,310406392,100,100,15.36,185.0988,-63.4398,3,2,3329.0,0.420107,0.413983,212.045,DWARF,0,2.31872,932
