target,tic_id,sectors,artifact_epoch_btjd,prior_depth_snr,prior_passes,prior_period_days,prior_pipeline_version,prior_transit_time,shared_epochs_seen,source_campaigns
TIC 411874804,411874804,100,4074.4,121.6033,False,0.550334,processed-lc-v2,4074.468832,4074.4,sector100_expansion_5000
TIC 411885590,411885590,100,4080.8,12.5338,False,1.39584,processed-lc-v2,4074.378868,4080.8,sector100_expansion_5000
TIC 412750979,412750979,100,4080.8,14.8745,True,9.387345,processed-lc-v2,4080.821148,4080.8,sector100_expansion_5000
TIC 418282828,418282828,100,4074.4,164.021,False,1.369634,processed-lc-v2,4074.445854,4074.4,sector100_expansion_5000
TIC 419779703,419779703,100,4074.4,53.9765,False,0.779057,processed-lc-v2,4074.822656,4074.4,sector100_expansion_5000
TIC 419788533,419788533,100,4080.8,18.5981,True,1.989857,processed-lc-v2,4075.796442,4080.8,sector100_expansion_5000
TIC 419856245,419856245,100,4074.4,107.5801,False,0.788069,processed-lc-v2,4074.379611,4074.4,sector100_expansion_5000
TIC 422278180,422278180,100,4080.8,5.9778,False,3.538638,processed-lc-v2,4077.784001,4080.8,sector100_expansion_5000
TIC 423455404,423455404,100,4080.8,15.0554,True,5.124507,processed-lc-v2,4077.028378,4080.8,sector100_expansion_5000
TIC 429305307,429305307,100,4074.4,10.784,True,6.401164,processed-lc-v2,4080.894344,4074.4,sector100_expansion_5000
TIC 433545984,433545984,100,4080.8,58.9573,False,1.003853,processed-lc-v2,4074.599118,4080.8,sector100_expansion_5000
TIC 434496902,434496902,100,4080.8,5.2702,False,7.287654,processed-lc-v2,4079.447253,4080.8,sector100_expansion_5000
TIC 435985984,435985984,100,4074.4,94.0517,False,0.55075,processed-lc-v2,4074.404176,4074.4,sector100_expansion_5000
TIC 437266963,437266963,100,4074.4,5.4359,False,1.066161,processed-lc-v2,4075.14339,4074.4,sector100_expansion_5000
TIC 437607593,437607593,100,4080.8,77.9887,False,1.15677,processed-lc-v2,4074.782578,4080.8,sector100_expansion_5000
