target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,selection_rank
TIC 88533161,88533161,105,105,9.32,48.4764,-25.6118,4,4,128
TIC 139729243,139729243,105,105,9.01,323.0275,-52.0741,1,1,129
TIC 126602286,126602286,105,105,9.34,314.5419,-44.9158,1,2,130
TIC 441320453,441320453,105,105,9.28,308.812,-33.2351,1,3,131
TIC 62296704,62296704,105,105,9.03,291.2796,-47.7594,1,4,132
TIC 201290666,201290666,105,105,9.18,2.5368,-59.3577,2,1,133
TIC 160065644,160065644,105,105,9.44,345.7644,-40.8689,2,2,134
TIC 71315141,71315141,105,105,9.4,330.6057,-46.0372,2,3,135
TIC 234280067,234280067,105,105,9.05,333.9367,-61.1613,2,4,136
TIC 183562384,183562384,105,105,9.44,11.246,-41.2557,3,1,137
TIC 206616302,206616302,105,105,9.18,23.0312,-56.2153,3,2,138
TIC 207109199,207109199,105,105,9.32,33.4022,-48.4167,3,3,139
TIC 100098072,100098072,105,105,9.48,24.0374,-44.0899,3,4,140
TIC 70555763,70555763,105,105,9.23,33.8695,-32.7936,4,1,141
TIC 231295320,231295320,105,105,9.19,44.8734,-48.7906,4,2,142
TIC 89116063,89116063,105,105,9.1,55.6079,-26.8312,4,3,143
TIC 88337457,88337457,105,105,9.34,43.7352,-24.8738,4,4,144
TIC 231621867,231621867,105,105,9.02,316.3308,-54.1676,1,1,145
TIC 91311156,91311156,105,105,9.35,311.4343,-42.1542,1,2,146
TIC 441395198,441395198,105,105,9.3,310.4,-32.9163,1,3,147
TIC 79808564,79808564,105,105,9.03,296.6169,-47.0211,1,4,148
TIC 219336754,219336754,105,105,9.18,354.2166,-57.3166,2,1,149
TIC 175409488,175409488,105,105,9.44,350.0271,-41.5054,2,2,150
TIC 71274048,71274048,105,105,9.43,330.3454,-44.2834,2,3,151
TIC 409857922,409857922,105,105,9.05,341.585,-60.4813,2,4,152
TIC 116417624,116417624,105,105,9.45,7.9062,-37.2833,3,1,153
TIC 382535415,382535415,105,105,9.21,16.3416,-52.8375,3,2,154
TIC 231056565,231056565,105,105,9.34,30.4052,-56.4665,3,3,155
TIC 67644341,67644341,105,105,9.49,18.4973,-35.8672,3,4,156
TIC 146281951,146281951,105,105,9.23,35.8575,-30.4797,4,1,157
TIC 79532346,79532346,105,105,9.2,50.6025,-43.5261,4,2,158
TIC 168704114,168704114,105,105,9.11,62.068,-33.2581,4,3,159
TIC 65451563,65451563,105,105,9.35,42.3312,-29.0585,4,4,160
TIC 101883318,101883318,105,105,9.04,304.4837,-50.7956,1,1,161
TIC 115012863,115012863,105,105,9.36,315.5982,-40.8266,1,2,162
TIC 290480926,290480926,105,105,9.31,306.2891,-41.846,1,3,163
TIC 404160133,404160133,105,105,9.04,296.451,-51.5619,1,4,164
TIC 266980320,266980320,105,105,9.18,349.561,-56.904,2,1,165
TIC 469937471,469937471,105,105,9.46,1.6151,-49.1821,2,2,166
TIC 279315482,279315482,105,105,9.49,331.8683,-44.2359,2,3,167
TIC 219319702,219319702,105,105,9.06,326.4556,-59.7953,2,4,168
TIC 101931020,101931020,105,105,9.47,13.0996,-42.7812,3,1,169
TIC 281780147,281780147,105,105,9.22,12.8716,-54.8456,3,2,170
TIC 207090357,207090357,105,105,9.35,24.0114,-48.7443,3,3,171
TIC 152309422,152309422,105,105,9.5,29.2936,-38.9614,3,4,172
TIC 139484672,139484672,105,105,9.24,36.0715,-28.3912,4,1,173
TIC 165124221,165124221,105,105,9.23,46.2181,-38.3813,4,2,174
TIC 321088561,321088561,105,105,9.11,60.0421,-36.9783,4,3,175
TIC 144514234,144514234,105,105,9.35,50.3821,-24.1803,4,4,176
TIC 394483121,394483121,105,105,9.05,316.0573,-55.3339,1,1,177
TIC 126638586,126638586,105,105,9.36,314.8293,-42.8866,1,2,178
TIC 300554604,300554604,105,105,9.32,299.1995,-38.1214,1,3,179
TIC 166464277,166464277,105,105,9.06,298.7723,-49.886,1,4,180
TIC 201294865,201294865,105,105,9.21,3.4725,-55.3558,2,1,181
TIC 201233444,201233444,105,105,9.47,359.4522,-50.3243,2,2,182
TIC 144065872,144065872,105,105,9.5,337.4582,-48.0031,2,3,183
TIC 381853092,381853092,105,105,9.06,321.8806,-59.9039,2,4,184
TIC 120428359,120428359,105,105,9.49,0.1732,-41.4073,3,1,185
TIC 281781375,281781375,105,105,9.22,12.9765,-59.3441,3,2,186
TIC 231070591,231070591,105,105,9.39,32.8825,-53.9904,3,3,187
TIC 111290453,111290453,105,105,9.51,31.361,-39.8121,3,4,188
TIC 70554778,70554778,105,105,9.27,33.6682,-33.4113,4,1,189
TIC 152965232,152965232,105,105,9.29,46.8939,-45.9916,4,2,190
TIC 176780738,176780738,105,105,9.18,48.1962,-31.39,4,3,191
TIC 88465914,88465914,105,105,9.36,46.8255,-26.4451,4,4,192
TIC 91190203,91190203,105,105,9.06,310.3623,-46.8589,1,1,193
TIC 197597908,197597908,105,105,9.37,327.2985,-39.3828,1,2,194
TIC 269586064,269586064,105,105,9.34,301.8019,-40.0629,1,3,195
TIC 62023270,62023270,105,105,9.07,290.1539,-43.2651,1,4,196
TIC 355704733,355704733,105,105,9.21,1.1204,-60.7459,2,1,197
TIC 184111613,184111613,105,105,9.48,359.1182,-40.3652,2,2,198
TIC 215053385,215053385,105,105,9.52,342.685,-40.8779,2,3,199
TIC 219119796,219119796,105,105,9.17,339.9773,-54.1265,2,4,200
TIC 80472299,80472299,105,105,9.5,12.4519,-46.8637,3,1,201
TIC 231014033,231014033,105,105,9.23,26.5501,-56.1816,3,2,202
TIC 231273922,231273922,105,105,9.42,41.3888,-49.2917,3,3,203
TIC 41834679,41834679,105,105,9.52,19.7571,-41.9125,3,4,204
TIC 122558271,122558271,105,105,9.28,39.6905,-34.4353,4,1,205
TIC 142199384,142199384,105,105,9.31,38.1707,-44.0774,4,2,206
TIC 142866660,142866660,105,105,9.19,50.6731,-30.693,4,3,207
TIC 144651306,144651306,105,105,9.36,53.8205,-24.2409,4,4,208
TIC 166578537,166578537,105,105,9.07,305.5571,-49.7381,1,1,209
TIC 139720300,139720300,105,105,9.43,322.7333,-48.3604,1,2,210
TIC 152748116,152748116,105,105,9.36,304.9675,-30.9454,1,3,211
TIC 300355974,300355974,105,105,9.11,298.4272,-41.1132,1,4,212
TIC 206358082,206358082,105,105,9.22,356.1237,-53.3405,2,1,213
TIC 175456679,175456679,105,105,9.49,350.4911,-40.1744,2,2,214
TIC 161111493,161111493,105,105,9.53,338.065,-50.9551,2,3,215
TIC 229802943,229802943,105,105,9.21,328.632,-55.1844,2,4,216
TIC 80471980,80471980,105,105,9.55,12.5015,-47.2921,3,1,217
TIC 229097861,229097861,105,105,9.25,19.6076,-47.502,3,2,218
TIC 7220471,7220471,105,105,9.43,32.4111,-43.4408,3,3,219
TIC 41861952,41861952,105,105,9.52,20.9171,-41.8036,3,4,220
TIC 91595351,91595351,105,105,9.29,38.3982,-36.1199,4,1,221
TIC 147458631,147458631,105,105,9.32,41.338,-39.9817,4,2,222
TIC 142939677,142939677,105,105,9.2,52.7002,-30.4385,4,3,223
TIC 65484200,65484200,105,105,9.38,43.1384,-26.3039,4,4,224
TIC 370132371,370132371,105,105,9.08,306.9456,-54.4258,1,1,225
TIC 159834173,159834173,105,105,9.43,319.8482,-41.1835,1,2,226
TIC 300353152,300353152,105,105,9.4,298.3152,-39.4098,1,3,227
TIC 101452013,101452013,105,105,9.14,301.175,-51.7359,1,4,228
TIC 316937718,316937718,105,105,9.22,356.4727,-56.603,2,1,229
TIC 144309170,144309170,105,105,9.53,354.8597,-46.439,2,2,230
TIC 117513601,117513601,105,105,9.55,339.6272,-42.8574,2,3,231
TIC 161272673,161272673,105,105,9.23,342.3457,-52.8744,2,4,232
TIC 101936401,101936401,105,105,9.58,13.985,-47.1496,3,1,233
TIC 281461091,281461091,105,105,9.29,5.9866,-55.2517,3,2,234
TIC 158647328,158647328,105,105,9.49,25.2066,-52.4236,3,3,235
TIC 270315443,270315443,105,105,9.53,20.3772,-42.1363,3,4,236
TIC 123321517,123321517,105,105,9.32,30.0298,-33.3176,4,1,237
TIC 159923666,159923666,105,105,9.33,49.0131,-37.4229,4,2,238
TIC 165200026,165200026,105,105,9.2,56.1427,-39.2393,4,3,239
TIC 88416301,88416301,105,105,9.38,45.9047,-25.5917,4,4,240
TIC 91231096,91231096,105,105,9.11,310.6673,-46.6723,1,1,241
TIC 115113544,115113544,105,105,9.44,316.7068,-36.5112,1,2,242
TIC 91045353,91045353,105,105,9.43,309.3485,-42.0396,1,3,243
TIC 320425891,320425891,105,105,9.14,295.8031,-53.8988,1,4,244
TIC 201250317,201250317,105,105,9.23,0.6791,-56.7815,2,1,245
TIC 139199570,139199570,105,105,9.54,345.7997,-42.8768,2,2,246
TIC 382383510,382383510,105,105,9.56,335.2951,-42.3134,2,3,247
TIC 144070406,144070406,105,105,9.24,338.0089,-52.8623,2,4,248
TIC 120548602,120548602,105,105,9.58,3.0328,-38.6954,3,1,249
TIC 281657150,281657150,105,105,9.29,9.902,-59.5136,3,2,250
TIC 165902404,165902404,105,105,9.52,31.1484,-46.0905,3,3,251
TIC 32432838,32432838,105,105,9.56,27.3677,-34.0185,3,4,252
TIC 123405765,123405765,105,105,9.32,32.3797,-30.973,4,1,253
TIC 142351366,142351366,105,105,9.36,42.0142,-44.8224,4,2,254
TIC 166898557,166898557,105,105,9.21,59.8359,-33.4535,4,3,255
TIC 423781563,423781563,105,105,9.39,51.9038,-25.4002,4,4,256
TIC 231639513,231639513,105,105,9.11,318.2573,-54.2573,1,1,257
TIC 129712515,129712515,105,105,9.44,322.0669,-39.9187,1,2,258
TIC 336849411,336849411,105,105,9.43,300.9306,-32.9154,1,3,259
TIC 61964767,61964767,105,105,9.2,290.0472,-47.5137,1,4,260
TIC 235009065,235009065,105,105,9.23,352.5357,-62.8264,2,1,261
TIC 425863648,425863648,105,105,9.56,351.8803,-47.4597,2,2,262
TIC 88273145,88273145,105,105,9.58,333.3203,-47.2325,2,3,263
TIC 406274238,406274238,105,105,9.24,325.4178,-60.6136,2,4,264
TIC 116157647,116157647,105,105,9.65,7.5606,-38.346,3,1,265
TIC 281781542,281781542,105,105,9.3,13.2455,-59.6682,3,2,266
TIC 166837228,166837228,105,105,9.53,39.9593,-51.6646,3,3,267
TIC 199734784,199734784,105,105,9.57,22.6287,-42.707,3,4,268
TIC 138727779,138727779,105,105,9.35,32.9401,-37.2105,4,1,269
TIC 146636234,146636234,105,105,9.37,42.212,-43.8913,4,2,270
TIC 129840254,129840254,105,105,9.23,55.4075,-39.9936,4,3,271
TIC 406497879,406497879,105,105,9.4,53.5626,-22.8564,4,4,272
TIC 79172136,79172136,105,105,9.18,316.9252,-53.2083,1,1,273
TIC 147405753,147405753,105,105,9.47,326.9361,-44.0985,1,2,274
TIC 355134987,355134987,105,105,9.44,307.1694,-43.1496,1,3,275
TIC 101142205,101142205,105,105,9.2,298.9669,-51.7319,1,4,276
TIC 237336864,237336864,105,105,9.24,347.3665,-63.6537,2,1,277
TIC 175375296,175375296,105,105,9.58,348.7364,-39.9606,2,2,278
TIC 231266636,231266636,105,105,9.61,334.4588,-48.948,2,3,279
TIC 277688309,277688309,105,105,9.3,329.2069,-62.5978,2,4,280
TIC 101931487,101931487,105,105,9.69,13.1446,-45.3544,3,1,281
TIC 281562429,281562429,105,105,9.32,7.1834,-57.5484,3,2,282
TIC 229154157,229154157,105,105,9.53,28.2781,-50.9422,3,3,283
TIC 32291610,32291610,105,105,9.58,24.4867,-31.5214,3,4,284
TIC 123269678,123269678,105,105,9.36,29.0044,-30.9468,4,1,285
TIC 91555401,91555401,105,105,9.43,44.056,-35.4903,4,2,286
TIC 44670257,44670257,105,105,9.3,60.0171,-29.0412,4,3,287
TIC 144516268,144516268,105,105,9.43,50.622,-25.0317,4,4,288
TIC 100504381,100504381,105,105,9.2,308.5636,-48.2749,1,1,289
TIC 147132386,147132386,105,105,9.52,322.067,-45.2205,1,2,290
TIC 8191955,8191955,105,105,9.52,301.408,-39.9029,1,3,291
TIC 200247525,200247525,105,105,9.21,294.4625,-51.4439,1,4,292
TIC 262786785,262786785,105,105,9.28,347.8298,-56.4774,2,1,293
TIC 139368319,139368319,105,105,9.64,349.7427,-44.2008,2,2,294
TIC 197741513,197741513,105,105,9.64,331.3511,-41.6968,2,3,295
TIC 144003308,144003308,105,105,9.31,336.4672,-51.8141,2,4,296
TIC 101934858,101934858,105,105,9.72,13.6449,-43.8648,3,1,297
TIC 469974705,469974705,105,105,9.32,8.0594,-60.8471,3,2,298
TIC 166789073,166789073,105,105,9.55,38.6813,-50.0056,3,3,299
TIC 41835717,41835717,105,105,9.59,19.7459,-38.7794,3,4,300
TIC 122610121,122610121,105,105,9.37,40.541,-30.8518,4,1,301
TIC 153077621,153077621,105,105,9.44,49.6597,-42.6423,4,2,302
TIC 142983150,142983150,105,105,9.33,53.947,-33.7284,4,3,303
TIC 65399272,65399272,105,105,9.59,40.5518,-24.6606,4,4,304
TIC 219975355,219975355,105,105,9.22,306.3099,-58.0094,1,1,305
TIC 200655425,200655425,105,105,9.53,320.9247,-45.2269,1,2,306
TIC 218926882,218926882,105,105,9.52,298.3295,-35.1922,1,3,307
TIC 425816761,425816761,105,105,9.25,305.9417,-45.7118,1,4,308
TIC 201365022,201365022,105,105,9.29,5.432,-59.5562,2,1,309
TIC 175476113,175476113,105,105,9.64,350.8647,-40.8569,2,2,310
TIC 278538835,278538835,105,105,9.65,333.1076,-41.924,2,3,311
TIC 144004513,144004513,105,105,9.31,336.6033,-51.8137,2,4,312
TIC 7147101,7147101,105,105,9.75,4.8723,-44.0709,3,1,313
TIC 229112936,229112936,105,105,9.33,17.669,-49.6259,3,2,314
TIC 401842610,401842610,105,105,9.55,26.6304,-46.2395,3,3,315
TIC 270312845,270312845,105,105,9.6,20.0033,-45.4589,3,4,316
TIC 123338556,123338556,105,105,9.37,31.0547,-32.5482,4,1,317
TIC 152972689,152972689,105,105,9.45,48.1497,-45.1444,4,2,318
TIC 166871751,166871751,105,105,9.33,59.2872,-34.1554,4,3,319
TIC 137884731,137884731,105,105,9.61,48.5532,-19.696,4,4,320
TIC 370228765,370228765,105,105,9.23,319.2469,-56.3074,1,1,321
TIC 129712203,129712203,105,105,9.56,322.1527,-39.1387,1,2,322
TIC 291013389,291013389,105,105,9.57,309.3364,-39.2094,1,3,323
TIC 369871758,369871758,105,105,9.32,295.0263,-46.9075,1,4,324
TIC 201235245,201235245,105,105,9.3,359.925,-51.6208,2,1,325
TIC 139150052,139150052,105,105,9.65,344.7166,-42.9885,2,2,326
TIC 152936712,152936712,105,105,9.68,338.6187,-40.2034,2,3,327
TIC 197979814,197979814,105,105,9.31,325.7369,-54.3949,2,4,328
TIC 165888312,165888312,105,105,9.77,2.1106,-44.2736,3,1,329
TIC 322063810,322063810,105,105,9.36,14.319,-51.5857,3,2,330
TIC 142163441,142163441,105,105,9.63,36.76,-44.2148,3,3,331
TIC 32314186,32314186,105,105,9.61,25.0455,-35.2004,3,4,332
TIC 146247270,146247270,105,105,9.37,34.5555,-31.088,4,1,333
TIC 142218544,142218544,105,105,9.46,39.1321,-44.8157,4,2,334
TIC 143029484,143029484,105,105,9.36,54.7621,-33.9668,4,3,335
TIC 209450490,209450490,105,105,9.61,45.7375,-30.95,4,4,336
TIC 370108288,370108288,105,105,9.29,314.6852,-48.565,1,1,337
TIC 115151897,115151897,105,105,9.6,317.0148,-39.8878,1,2,338
TIC 441394857,441394857,105,105,9.57,310.2772,-33.4419,1,3,339
TIC 441247777,441247777,105,105,9.38,295.0472,-40.8756,1,4,340
TIC 201250285,201250285,105,105,9.3,0.6233,-56.8969,2,1,341
TIC 144336075,144336075,105,105,9.66,356.0834,-44.4511,2,2,342
TIC 161154188,161154188,105,105,9.69,339.0152,-49.0573,2,3,343
TIC 139879080,139879080,105,105,9.37,326.3816,-51.5649,2,4,344
TIC 117156629,117156629,105,105,9.79,8.946,-37.9388,3,1,345
TIC 281665902,281665902,105,105,9.37,10.1077,-56.2582,3,2,346
TIC 166671999,166671999,105,105,9.63,34.4771,-48.7843,3,3,347
TIC 199737242,199737242,105,105,9.61,22.9969,-44.56,3,4,348
TIC 91528551,91528551,105,105,9.38,36.8654,-33.2509,4,1,349
TIC 159924384,159924384,105,105,9.46,48.8937,-41.2801,4,2,350
TIC 140205350,140205350,105,105,9.37,59.0262,-37.3549,4,3,351
TIC 88409174,88409174,105,105,9.62,45.7103,-26.2338,4,4,352
TIC 100794114,100794114,105,105,9.3,311.6099,-49.8038,1,1,353
TIC 159671133,159671133,105,105,9.6,318.0933,-41.9318,1,2,354
TIC 92352620,92352620,105,105,9.64,313.7833,-34.1359,1,3,355
TIC 128881296,128881296,105,105,9.41,301.015,-45.8,1,4,356
TIC 402046211,402046211,105,105,9.33,352.1877,-52.2299,2,1,357
TIC 382426626,382426626,105,105,9.66,350.2976,-45.0099,2,2,358
TIC 144252186,144252186,105,105,9.77,328.6754,-44.2982,2,3,359
TIC 197982694,197982694,105,105,9.37,326.2298,-57.4262,2,4,360
TIC 120488979,120488979,105,105,9.8,1.7396,-38.7619,3,1,361
TIC 322050636,322050636,105,105,9.4,13.6682,-49.4608,3,2,362
TIC 220013423,220013423,105,105,9.63,31.8898,-50.2054,3,3,363
TIC 67644505,67644505,105,105,9.65,18.4998,-34.7183,3,4,364
TIC 138728298,138728298,105,105,9.38,32.9565,-36.3109,4,1,365
TIC 175532691,175532691,105,105,9.5,45.9987,-41.348,4,2,366
TIC 168696027,168696027,105,105,9.38,61.4675,-31.6439,4,3,367
TIC 144598907,144598907,105,105,9.62,53.189,-24.1159,4,4,368
TIC 79151847,79151847,105,105,9.34,316.4051,-51.8456,1,1,369
TIC 147272181,147272181,105,105,9.65,324.5665,-45.1947,1,2,370
TIC 278407384,278407384,105,105,9.65,303.5146,-30.2118,1,3,371
TIC 61850799,61850799,105,105,9.42,289.4463,-45.1999,1,4,372
TIC 237332812,237332812,105,105,9.34,346.8329,-60.085,2,1,373
TIC 197977303,197977303,105,105,9.67,348.7404,-50.3922,2,2,374
TIC 140068425,140068425,105,105,9.78,330.3019,-49.0601,2,3,375
TIC 231701908,231701908,105,105,9.39,332.9349,-57.2612,2,4,376
TIC 616335579,616335579,105,105,9.82,15.3068,-45.299,3,1,377
TIC 322051377,322051377,105,105,9.4,13.8559,-49.9491,3,2,378
