target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,stellar_mass_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 426535014,426535014,100,100,9.07,244.9935,-77.1234,4,2,7417.0,2.19412,1.7,287.229,DWARF,2,2.496521,398
TIC 304479867,304479867,100,100,8.86,276.8891,-71.8882,4,3,7788.0,2.27549,1.84,283.545,DWARF,2,2.48615,399
TIC 365431979,365431979,100,100,9.05,273.324,-65.7202,4,4,8269.0,2.12516,,333.757,DWARF,2,2.464783,400
TIC 309025182,309025182,100,100,10.87,151.0074,-27.7072,1,1,6828.0,3.44972,1.47,918.673,DWARF,2,3.249568,401
TIC 219069014,219069014,100,100,8.86,170.6827,-22.0888,1,2,6681.0,3.83241,1.413,389.082,DWARF,2,2.938944,402
TIC 410061711,410061711,100,100,9.02,161.8657,-11.9029,1,3,4808.0,3.74686,,231.031,GIANT,6,2.951335,403
TIC 415600408,415600408,100,100,9.38,147.3817,-19.2733,1,4,,,,1278.85,UNKNOWN,5,999.0,404
TIC 163377974,163377974,100,100,10.05,173.5059,-46.963,2,1,9536.0,2.24499,2.43,587.202,DWARF,2,2.712429,405
TIC 73088974,73088974,100,100,9.24,189.7829,-45.5624,2,2,6853.0,2.29098,1.48,288.448,DWARF,2,2.568043,406
TIC 181087723,181087723,100,100,12.09,173.6873,-38.4304,2,3,7135.0,3.29565,1.59,1545.35,DWARF,2,3.453882,407
TIC 73386477,73386477,100,100,9.47,154.5508,-36.8052,2,4,6484.0,3.0463,1.32,394.253,DWARF,2,2.861545,408
TIC 163042472,163042472,100,100,8.93,190.8724,-49.656,3,1,8636.0,2.09847,2.16,305.358,DWARF,2,2.429806,409
TIC 433440520,433440520,100,100,8.68,183.0125,-59.0174,3,2,7882.0,2.51106,1.88,279.847,DWARF,2,2.535714,410
TIC 434139537,434139537,100,100,9.7,190.8803,-64.1357,3,3,7412.0,1.84009,,227.161,DWARF,2,2.469678,411
TIC 318305238,318305238,100,100,9.19,204.2166,-63.0958,3,4,8923.0,2.06193,2.25,319.977,DWARF,2,2.466548,412
TIC 455055854,455055854,100,100,8.58,228.0039,-63.287,4,1,8631.0,2.30678,2.16,259.206,DWARF,2,2.442012,413
TIC 426003634,426003634,100,100,9.57,236.2181,-73.1476,4,2,7548.61,1.968,1.75,319.076,DWARF,2,2.50205,414
TIC 343297581,343297581,100,100,8.77,266.0089,-75.6821,4,3,9383.0,2.35436,2.38,334.744,DWARF,2,2.497746,415
TIC 364419479,364419479,100,100,9.0,252.9237,-68.0623,4,4,8384.0,2.15555,,318.363,DWARF,2,2.467116,416
TIC 423391000,423391000,100,100,9.11,157.1614,-21.5336,1,1,,,,,DWARF,2,999.0,417
TIC 168384036,168384036,100,100,10.36,166.4751,-25.9531,1,2,6873.0,2.87378,1.49,613.416,DWARF,2,2.988907,418
TIC 422247512,422247512,100,100,8.35,162.6543,-11.9286,1,3,4988.0,4.69888,,231.298,GIANT,6,3.013989,419
TIC 396796019,396796019,100,100,11.85,147.6565,-13.933,1,4,,,,,UNKNOWN,5,999.0,420
TIC 459440700,459440700,100,100,9.61,162.6917,-55.9288,2,1,9926.0,2.52928,2.54,526.32,DWARF,2,2.727994,421
TIC 61707954,61707954,100,100,9.9,177.0039,-46.4911,2,2,7517.0,1.97449,1.73,384.049,DWARF,2,2.57091,422
TIC 57260027,57260027,100,100,12.17,171.1173,-33.9036,2,3,7506.88,3.26627,1.73,1717.97,DWARF,2,3.462104,423
TIC 106200340,106200340,100,100,9.04,158.5068,-40.6737,2,4,7390.0,3.70609,1.68,468.911,DWARF,2,2.945832,424
