target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,stellar_mass_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 466696103,466696103,100,100,13.34,296.8164,-76.7832,4,3,2953.0,0.19207,0.161238,28.2868,DWARF,0,1.234919,95
TIC 306980405,306980405,100,100,12.99,266.6243,-62.5978,4,4,3219.0,0.221741,,33.1333,DWARF,0,1.289692,96
TIC 187922557,187922557,100,100,9.92,159.1166,-28.4543,1,1,3540.0,0.521637,,25.9614,DWARF,0,1.418737,97
TIC 437253099,437253099,100,100,11.55,169.8432,-19.0083,1,2,3297.0,0.322347,,44.6407433,DWARF,0,1.326647,98
TIC 55240194,55240194,100,100,10.56,163.6735,-7.3121,1,3,3237.0,0.380591,,23.85205,DWARF,0,1.272917,99
TIC 36724087,36724087,100,100,10.59,154.6439,-11.7185,1,4,3331.0,0.374139,0.362023,21.9814,DWARF,0,1.264066,100
TIC 94637805,94637805,100,100,7.74,177.7872,-51.8763,2,1,5622.0,1.1091,,53.1016,DWARF,0,1.637941,101
TIC 461196758,461196758,100,100,12.87,181.3778,-41.0833,2,2,3312.0,0.227744,,33.7291,DWARF,0,1.288894,102
TIC 448695529,448695529,100,100,12.89,177.5719,-34.1191,2,3,3187.0,0.233119,,33.1468,DWARF,0,1.313155,103
TIC 54253554,54253554,100,100,13.26,161.1997,-34.7174,2,4,3228.0,0.273869,,48.2369,DWARF,0,1.527086,104
TIC 166563449,166563449,100,100,8.7,192.8458,-48.1026,3,1,5154.65,0.787942,,49.4962,DWARF,0,1.532989,105
TIC 405379901,405379901,100,100,10.06,184.1025,-58.1564,3,2,4188.0,0.625968,,45.824,DWARF,0,1.605104,106
TIC 359578645,359578645,100,100,11.88,183.8385,-72.5015,3,3,3623.0,0.459217,,57.6795,DWARF,0,1.700036,107
TIC 393001369,393001369,100,100,10.9,218.4778,-61.1526,3,4,3537.0,0.414303,0.40753,30.59,DWARF,0,1.414636,108
TIC 363527063,363527063,100,100,12.61,249.526,-67.1621,4,1,3233.0,0.40267,,57.8914,DWARF,0,1.731899,109
TIC 291449009,291449009,100,100,13.09,247.9433,-79.4323,4,2,3265.0,0.278781,0.252605,47.1637,DWARF,0,1.508526,110
TIC 343404892,343404892,100,100,12.24,268.3845,-74.0641,4,3,3188.0,0.259543,0.23126,27.9032,DWARF,0,1.276419,111
TIC 447627656,447627656,100,100,8.03,254.2174,-60.9565,4,4,5271.0,0.834042,0.9,40.2077,DWARF,0,1.448376,112
TIC 179294885,179294885,100,100,13.53,159.5065,-21.9064,1,1,3182.0,0.234209,,44.5258,DWARF,0,1.445207,113
TIC 32610018,32610018,100,100,12.75,175.6003,-25.361,1,2,3353.0,0.256232,,37.159,DWARF,0,1.367267,114
TIC 305567403,305567403,100,100,13.04,163.5952,-15.1194,1,3,3000.0,0.245605,,33.8062,DWARF,0,1.388474,115
TIC 308841579,308841579,100,100,9.83,152.4034,-17.8069,1,4,3569.0,0.450915,,21.3872,DWARF,0,1.274189,116
TIC 162809834,162809834,100,100,10.6,171.4086,-47.6624,2,1,3770.0,0.58798,,46.3799,DWARF,0,1.658725,117
TIC 73794653,73794653,100,100,12.03,192.4766,-45.0817,2,2,3286.0,0.277391,0.251047,28.1585,DWARF,0,1.292185,118
TIC 142210952,142210952,100,100,13.24,180.3575,-35.0318,2,3,3195.0,0.228548,,37.4448,DWARF,0,1.365955,119
TIC 178614175,178614175,100,100,8.09,165.6898,-42.2068,2,4,5941.98,0.965051,,59.7181,DWARF,0,1.587101,120
TIC 401283888,401283888,100,100,10.2,187.989,-50.5459,3,1,3575.0,0.559671,,,DWARF,0,1.535866,121
TIC 268129495,268129495,100,100,9.1,176.4645,-55.3461,3,2,4387.0,0.783102,,41.5839,DWARF,0,1.607637,122
TIC 341051535,341051535,100,100,9.91,202.6287,-71.2524,3,3,4619.0,0.723725,,62.6956,DWARF,0,1.701147,123
TIC 316577292,316577292,100,100,13.11,203.5712,-63.2411,3,4,3153.0,0.274551,,43.1787,DWARF,0,1.499246,124
TIC 258603532,258603532,100,100,10.11,221.9927,-67.8382,4,1,4450.0,0.737508,0.7,64.4457,DWARF,0,1.757533,125
TIC 263350818,263350818,100,100,9.92,230.9983,-70.9034,4,2,3725.0,0.595305,,34.3916,DWARF,0,1.533479,126
TIC 467939527,467939527,100,100,11.87,283.8103,-71.2525,4,3,3180.0,0.314669,0.293421,28.2594,DWARF,0,1.369708,127
TIC 447627658,447627658,100,100,8.73,254.2124,-60.9565,4,4,4741.0,0.74987,0.76,40.1359,DWARF,0,1.495972,128
TIC 179240547,179240547,100,100,13.1,159.0372,-20.7323,1,1,3270.0,0.259362,0.231062,42.7461,DWARF,0,1.447813,129
TIC 434495227,434495227,100,100,12.26,172.9046,-22.7089,1,2,3323.0,0.29085,0.266213,34.0986,DWARF,0,1.379338,130
TIC 148612264,148612264,100,100,12.28,165.3759,-10.1213,1,3,3273.0,0.299788,,34.2971,DWARF,0,1.409628,131
TIC 308841571,308841571,100,100,9.63,152.4018,-17.841,1,4,3624.0,0.47378,,21.3983,DWARF,0,1.277153,132
TIC 304234457,304234457,100,100,11.48,165.0343,-56.1227,2,1,3719.0,0.480816,,50.594,DWARF,0,1.659958,133
TIC 72818359,72818359,100,100,8.88,188.7203,-47.2892,2,2,4855.0,0.693223,0.79,42.7235,DWARF,0,1.457746,134
TIC 429165846,429165846,100,100,13.02,177.2051,-28.5571,2,3,3001.0,0.244254,,35.0254,DWARF,0,1.379683,135
TIC 158588995,158588995,100,100,11.88,164.586,-36.8581,2,4,3411.0,0.421944,,46.0851,DWARF,0,1.62651,136
TIC 260647166,260647166,100,100,8.65,186.5737,-51.3632,3,1,5723.87,0.864173,1.02,64.5978,DWARF,0,1.603201,137
TIC 281650462,281650462,100,100,9.49,170.4986,-60.4044,3,2,5367.0,0.788214,0.93,77.0766,DWARF,0,1.691288,138
TIC 394672497,394672497,100,100,9.62,201.7498,-73.5942,3,3,4554.0,0.774212,,56.8792,DWARF,0,1.70172,139
TIC 394053465,394053465,100,100,10.84,218.6649,-64.7852,3,4,3518.0,0.506331,0.504278,38.3709,DWARF,0,1.576869,140
TIC 258406641,258406641,100,100,8.32,221.5882,-67.7713,4,1,6056.0,1.15827,,82.1017,DWARF,0,1.79162,141
TIC 426547985,426547985,100,100,13.46,245.4853,-77.161,4,2,3126.0,0.267868,,48.8111,DWARF,0,1.547842,142
TIC 292292038,292292038,100,100,12.27,278.6708,-68.5537,4,3,3307.0,0.288744,0.263827,33.5373,DWARF,0,1.375026,143
TIC 293963713,293963713,100,100,11.66,264.0605,-67.9368,4,4,3301.0,0.385324,,35.6616,DWARF,0,1.503652,144
TIC 193023697,193023697,100,100,8.6,155.5978,-28.8474,1,1,5039.0,0.740247,0.84,42.6435,DWARF,0,1.458753,145
TIC 410427235,410427235,100,100,11.91,167.3678,-20.0754,1,2,3481.0,0.318424,0.297741,34.9222,DWARF,0,1.388012,146
TIC 385230656,385230656,100,100,12.46,167.1113,-14.1126,1,3,3202.0,0.295449,,35.7417,DWARF,0,1.432965,147
TIC 332657786,332657786,100,100,13.0,149.992,-16.1603,1,4,3275.0,0.234967,,38.6057,DWARF,0,1.342014,148
TIC 82774204,82774204,100,100,10.76,170.1631,-50.1834,2,1,3822.0,0.57808,,48.5121,DWARF,0,1.675976,149
TIC 135454073,135454073,100,100,12.13,187.8314,-40.3099,2,2,3229.0,0.335841,,49.15025,DWARF,0,1.478267,150
