target,tic_id,ra,dec,tmag,teff_k,radius_solar,distance_pc,contamination_ratio,gaia_source_id
TIC 233688373,233688373,275.47827756476,61.41300564082,13.187,3520.0,0.483,105.863,0.006,2158321641490939008
TIC 441793872,441793872,263.63088370237,72.49832680804,13.187,3923.0,0.573,155.92,0.0101,1651511789711754624
TIC 232982333,232982333,241.63250608952,66.83643949055,13.188,3855.0,0.553,145.171,4.0E-4,1643274592192480768
TIC 459977111,459977111,255.47321048833,60.54846430799,13.191,3486.0,0.432,91.5284,0.001,1438022193925787904
TIC 353938213,353938213,272.38391956325,59.26284826471,13.193,3181.0,0.285,45.269,0.0157,2152426197581758080
TIC 367854750,367854750,276.38703099476,73.00571736754,13.193,3586.0,0.455,102.4,0.0861,2267030115611039616
TIC 219107616,219107616,271.27034878747,67.51591519461,13.194,3566.0,0.436,97.5417,0.0012,2257967700257504640
TIC 199685281,199685281,252.77300990362,57.66419724658,13.195,3658.0,0.48,113.725,0.2526,1430709857485407360
TIC 233610488,233610488,283.50869533741,65.64548920276,13.195,3703.0,0.463,109.839,4.0E-4,2253957369034936064
TIC 198237009,198237009,248.98413328834,60.82088194559,13.196,3870.0,0.563,150.276,0.0034,1624512250898294656
TIC 284900651,284900651,261.07282381143,56.33686878302,13.196,3477.0,0.448,94.4889,5.0E-4,1420758109022846080
TIC 219779729,219779729,263.93588522634,63.33737014554,13.197,3323.0,0.424,81.6993,0.1444,1440220323828624384
TIC 198278424,198278424,249.9690143198,63.60200478459,13.198,3438.0,0.426,87.654,0.0019,1634811479395543040
TIC 165549362,165549362,266.66938368817,55.86072160392,13.199,3623.0,0.493,115.393,0.0022,1418436490220994432
TIC 198236332,198236332,248.63764048624,61.53052803341,13.199,3555.0,0.595,148.582,0.1574,1625352930616940032
TIC 198356747,198356747,256.25560461244,57.46728572406,13.199,3696.0,0.498,119.599,0.0015,1433508492535546880
TIC 230384068,230384068,285.87545185252,60.09058913209,13.199,3627.0,0.532,125.2,0.0324,2155662335181388544
TIC 237214260,237214260,294.74484321346,74.57105309695,13.199,3230.0,0.416,78.426,0.0197,2288998186136062848
TIC 236763411,236763411,273.30478446729,68.21148982512,13.201,3666.0,0.528,128.449,0.0219,2258237218044280064
TIC 235672944,235672944,282.5639302874,76.88694586736,13.203,3654.0,0.485,114.483,0.0259,2292719929915788032
TIC 232602562,232602562,257.58607151134,63.07361884287,13.204,3970.0,0.524,141.943,,1630983426583655424
TIC 259265659,259265659,293.2204739561,68.93212765184,13.204,3903.0,0.512,134.133,0.011,2261479780914340864
TIC 219806608,219806608,266.49732222157,61.6129729944,13.205,3697.0,0.558,143.395,0.0067,1436402338419887616
TIC 219878156,219878156,260.67867616656,71.78830208586,13.205,3442.0,0.388,79.3713,0.0282,1651090608037816064
TIC 441801132,441801132,265.08271540786,72.17965447155,13.205,3755.0,0.549,140.712,0.0026,1651451522730596096
TIC 377055663,377055663,285.12172315491,58.22213462039,13.207,3605.0,0.546,131.818,0.1419,2155069595334596224
TIC 198360298,198360298,256.68124553105,56.39604132356,13.209,3325.0,0.494,101.297,0.0011,1432597822029999616
TIC 233540482,233540482,281.22350796245,60.25601877364,13.209,3525.0,0.405,86.8338,0.0061,2156236177171639936
TIC 326259293,326259293,298.97475520021,69.17406328466,13.209,3729.0,0.471,113.781,0.11,2250810394956818432
TIC 424462057,424462057,279.74535616599,61.22798855696,13.21,3678.0,0.454,109.169,0.0048,2156617604627547904
TIC 233199884,233199884,265.05092310872,71.05241046733,13.212,3698.0,0.47,111.466,0.0079,1639136374023266816
TIC 219878686,219878686,261.14250570257,70.01232913584,13.213,3384.0,0.435,87.0194,0.0295,1638639287392775296
TIC 287137165,287137165,252.60068831041,63.52463874303,13.213,3749.0,0.583,151.552,0.0026,1631851628453491840
TIC 219104186,219104186,270.52592350386,70.02280153803,13.214,3803.0,0.512,129.574,0.2062,2260098485072407936
TIC 230120119,230120119,249.90939874673,67.4817852967,13.216,3727.0,0.554,143.219,0.0888,1648466314300261760
TIC 420113332,420113332,290.4516143461,72.14635343832,13.217,3804.0,0.559,146.993,0.002,2264351567846750848
TIC 229647164,229647164,280.57598518983,77.28026338206,13.22,3598.0,0.493,115.249,0.0333,2292744772006681344
TIC 233678701,233678701,260.21386726054,62.79455844532,13.22,3676.0,0.476,113.33,0.0024,1438810646841984896
TIC 219118188,219118188,272.48529202937,71.29145825725,13.221,3704.0,0.573,146.357,0.0032,2260687033030089728
TIC 289571416,289571416,252.12258432016,65.04362146377,13.222,3763.0,0.563,147.062,0.0437,1635045572293030272
TIC 441740483,441740483,259.66373974563,76.31885852879,13.222,3162.0,0.216,34.7322,3.0E-4,1656689012008851456
TIC 264299537,264299537,295.90628775592,69.52725301802,13.224,3591.0,0.539,130.703,0.01,2251051462880440064
TIC 280035662,280035662,297.76180097045,67.51199742279,13.224,3720.0,0.541,139.317,0.0014,2249101238492269568
TIC 420108235,420108235,285.10162867536,74.24233376152,13.224,3675.0,0.597,154.019,0.014,2268148142841617792
TIC 233614513,233614513,283.72501211029,61.05362213115,13.225,3314.0,0.395,76.6654,0.0084,2156705462478296832
