target,tic_id,planet,expected_period_days,expected_depth_ppm,tmag,teff_k,stellar_radius_solar,stellar_mass_solar,source_rowupdate,purpose,sector,sectors,author,cadence_seconds,observed_baseline_days,expected_transits
TIC 63372898,63372898,Kepler-82 e,5.902206,574.211,14.61,5428,0.945,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,13.72
TIC 63373862,63373862,Kepler-1015 b,16.004942,323.326,12.42,6769,1.81,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,5.06
TIC 63449012,63449012,Kepler-1203 b,0.58800076,253.801,14.08,4105,0.61,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,137.75
TIC 63898957,63898957,TOI-261.02,13.039359,625.6,9.04,5890.3,1.31383,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",3,3;30,SPOC,120,54,4.14
TIC 68504570,68504570,K2-37 c,6.42966,745.897,11.64,5352,0.809,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",91,91,SPOC,120,27,4.20
TIC 70298662,70298662,K2-315 b,3.1443189,1974.59,14.33,3300,0.196,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",91,91,SPOC,120,27,8.59
TIC 70412892,70412892,K2-317 b,6.22,1190,15.39,3387,0.379,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",91,91,SPOC,120,27,4.34
TIC 71431780,71431780,TOI-1723 b,13.727013,834.722,9.099,5777,1.09,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",20,20;26;47,SPOC,120,81,5.90
TIC 71582156,71582156,TOI-5726.01,5.4911252,448.201,9.161,5874,1.106,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",47,47;53;60,SPOC,120,81,14.75
TIC 73540072,73540072,TOI-1853 b,1.2436258,1541.24,11.37,4985,0.808,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",50,50,SPOC,120,27,21.71
TIC 73943566,73943566,K2-316 c,5.26,2480,14.27,3436,0.379,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",91,91,SPOC,120,27,5.13
TIC 75266189,75266189,EPIC 206024342 d,14.647531,469.573,12.52,5724,1.1,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;92,SPOC,120,54,3.69
TIC 75878355,75878355,TOI-2134 b,9.229198,1250.73,7.795,4580,0.709,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",52,52;53;54,SPOC,120,81,8.78
TIC 76420654,76420654,TOI-4462.01,4.9133022,2040,10.45,5918,2.06,,catalog_toi_pl_trandep,"known-planet recovery, shallow-end expansion",74,74;80,SPOC,120,54,10.99
TIC 82054726,82054726,K2-42 b,6.68796,939.716,13.96,4613,0.643,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",36,36;46;72,SPOC,120,81,12.11
TIC 82308728,82308728,HD 97658 b,9.4897116,712,6.986,5212,0.728,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",22,22;49,SPOC,120,54,5.69
TIC 83181153,83181153,K2-26 b,14.5665,2215.94,12.71,3785,0.52,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",43,43;44;45,SPOC,120,81,5.56
TIC 85242435,85242435,TOI-1722 b,9.6052321,1348.76,9.527,5999.6,1.09414,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",47,47;60;74,SPOC,120,81,8.43
TIC 85293053,85293053,TOI-1772.01,8.0542469,716.453,9.352,5583,0.995,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",21,21;48,SPOC,120,54,6.70
TIC 86130229,86130229,K2-352 d,14.871387,463.131,10.67,5791,0.95,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",44,44;45;46,SPOC,120,81,5.45
TIC 86380416,86380416,TIC 86380416 b,6.0408643,499.342,11.19,5723.7,0.989724,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",47,47,SPOC,120,27,4.47
TIC 88992642,88992642,TOI-2145 b,10.261128,1665.15,8.559,6206,2.75,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",40,40;52;53,SPOC,120,81,7.89
TIC 90090343,90090343,K2-379 b,8.777247,708.881,12.21,4603,0.751,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",92,92,SPOC,120,27,3.08
